
total_cnpj;total_datatu;total_filial;total_valdev;total_valven;total_margem;total_permet;total_projec;total_valjur;total_perjur;total_valina;total_perina;total_valest;total_meta;
01141021000190;20240512;00000003;000000000000.00;000000609648.95;0039.74;0036.50;0094.30;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240513;00000000;000000000000.00;000006042561.17;0039.97;0124.07;0295.87;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240513;00000002;000000000000.00;000000545961.88;0041.11;0029.51;0076.23;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240514;00000000;000000000000.00;000006211113.37;0039.98;0127.53;0282.40;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240514;00000002;000000000000.00;000000591291.26;0040.90;0031.96;0076.21;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240514;00000003;000000000000.00;000000648595.67;0039.94;0038.83;0092.61;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240515;00000000;000000000000.00;000006356377.15;0040.03;0130.52;0269.74;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240515;00000002;000000000000.00;000000623994.16;0040.95;0033.72;0074.68;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240515;00000003;000000000000.00;000000688524.66;0040.07;0041.22;0091.29;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240516;00000000;000000000000.00;000006517892.15;0040.06;0133.83;0259.31;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240516;00000001;000000000000.00;000000694181.97;0039.04;0051.42;0144.91;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240516;00000002;000000000000.00;000000656793.57;0040.98;0035.50;0073.37;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240516;00000003;000000000000.00;000000735488.61;0040.12;0044.04;0091.01;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240517;00000000;000000000000.00;000006723828.89;0040.09;0138.06;0251.76;0.00;0.00;0.00;0.00;0.00;004870000.00;
