assoc_cnpj;assoc_filial;assoc_datmvt;assoc_ass;assoc_desass;assoc_valdev;assoc_valven;assoc_margem;assoc_repres;assoc_metdia;
01141021000190;0000;20240504;RP;RACOES PET                    ;000000000000.00;000000001149.08;0042.36;4908.00;000000000.00;
01141021000190;0000;20240504;VE;VESTUARIO                     ;000000000000.00;000000000133.40;0058.00;3340.00;000000000.00;
01141021000190;0000;20240504;XX;TOTAL DO DIA                  ;000000000000.00;000000139498.07;0040.62;9807.00;000000000.00;
01141021000190;0000;20240505;AC;ACOUGUE                       ;000000000000.00;000000029758.05;0039.87;5805.00;000000000.00;
01141021000190;0000;20240505;AL;ALIMENTOS                     ;000000000000.00;000000030786.52;0043.54;8652.00;000000000.00;
01141021000190;0000;20240505;BA;BAZAR - SUPER                 ;000000000000.00;000000006954.29;0053.47;5429.00;000000000.00;
01141021000190;0000;20240505;BE;BEBIDAS                       ;000000000000.00;000000017296.50;0025.08;9650.00;000000000.00;
01141021000190;0000;20240505;HO;HORTIFRUTI                    ;000000000000.00;000000016366.79;0034.67;6679.00;000000000.00;
01141021000190;0000;20240505;HP;HIGIENE PESSOAL               ;000000000000.00;000000005099.70;0038.84;9970.00;000000000.00;
01141021000190;0000;20240505;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000012289.44;0041.88;8944.00;000000000.00;
01141021000190;0000;20240505;LI;LIMPEZA                       ;000000000000.00;000000013660.80;0041.44;6080.00;000000000.00;
01141021000190;0000;20240505;PA;PADARIA                       ;000000000000.00;000000010316.67;0054.58;1667.00;000000000.00;
01141021000190;0000;20240505;RP;RACOES PET                    ;000000000000.00;000000002105.67;0040.77;0567.00;000000000.00;
01141021000190;0000;20240505;VE;VESTUARIO                     ;000000000000.00;000000000155.72;0061.15;5572.00;000000000.00;
01141021000190;0000;20240505;XX;TOTAL DO DIA                  ;000000000000.00;000000144790.15;0040.31;9015.00;000000000.00;
01141021000190;0000;20240506;AC;ACOUGUE                       ;000000000000.00;000000035396.39;0040.29;9639.00;000000000.00;
01141021000190;0000;20240506;AL;ALIMENTOS                     ;000000000000.00;000000037380.24;0043.67;8024.00;000000000.00;
01141021000190;0000;20240506;BA;BAZAR - SUPER                 ;000000000000.00;000000007457.15;0055.24;5715.00;000000000.00;
01141021000190;0000;20240506;BE;BEBIDAS                       ;000000000000.00;000000023564.94;0025.88;6494.00;000000000.00;
01141021000190;0000;20240506;HO;HORTIFRUTI                    ;000000000000.00;000000018028.37;0034.02;2837.00;000000000.00;
01141021000190;0000;20240506;HP;HIGIENE PESSOAL               ;000000000000.00;000000008745.11;0038.53;4511.00;000000000.00;
01141021000190;0000;20240506;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000015052.08;0041.73;5208.00;000000000.00;
01141021000190;0000;20240506;LI;LIMPEZA                       ;000000000000.00;000000016476.17;0039.15;7617.00;000000000.00;
01141021000190;0000;20240506;PA;PADARIA                       ;000000000000.00;000000011184.57;0055.04;8457.00;000000000.00;
01141021000190;0000;20240506;RP;RACOES PET                    ;000000000000.00;000000001771.25;0031.87;7125.00;000000000.00;
01141021000190;0000;20240506;VE;VESTUARIO                     ;000000000000.00;000000000301.93;0058.73;0193.00;000000000.00;
01141021000190;0000;20240506;XX;TOTAL DO DIA                  ;000000000000.00;000000175358.20;0039.88;5820.00;000000000.00;
