
resumo_cnpj;resumo_codfil;resumo_desfil;resumo_datmvt;resumo_valdev;resumo_valven;resumo_margem;resumo_presen;resumo_metdia;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240512;000000000000.00;000000050663.84;0040.00;0002.73;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240513;000000000000.00;000000068900.52;0039.70;0003.72;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240514;000000000000.00;000000045329.38;0038.36;0002.45;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240515;000000000000.00;000000032702.90;0041.93;0001.76;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240516;000000000000.00;000000032799.41;0041.42;0001.77;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240517;000000000000.00;000000030187.90;0043.14;0001.63;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240518;000000000000.00;000000035614.04;0040.84;0001.92;000059677.41;
01141021000190;0002;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240519;000000000000.00;000000045079.98;0039.85;0002.43;000059677.41;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240501;000000000000.00;000000042441.14;0040.73;0002.54;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240502;000000000000.00;000000048730.62;0039.68;0002.91;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240503;000000000000.00;000000071206.78;0039.14;0004.26;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240504;000000000000.00;000000045300.01;0039.42;0002.71;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240505;000000000000.00;000000032269.28;0042.37;0001.93;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240506;000000000000.00;000000034909.67;0041.80;0002.09;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240507;000000000000.00;000000040143.26;0041.37;0002.40;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240508;000000000000.00;000000044224.46;0040.51;0002.64;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240509;000000000000.00;000000062294.61;0038.74;0003.73;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240510;000000000000.00;000000093312.95;0038.44;0005.58;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240511;000000000000.00;000000045097.65;0037.72;0002.70;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240512;000000000000.00;000000049718.52;0040.43;0002.97;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240514;000000000000.00;000000038946.72;0043.06;0002.33;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240515;000000000000.00;000000039928.99;0042.35;0002.39;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240516;000000000000.00;000000046963.95;0040.74;0002.81;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240517;000000000000.00;000000072670.69;0040.37;0004.35;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240518;000000000000.00;000000041785.07;0038.94;0002.50;000053870.96;
01141021000190;0003;SOLAR COMERCIO E AGROINDUSTRIA LTDA;20240519;000000000000.00;000000032992.36;0042.54;0001.97;000053870.96;
